Unnamed: 0,QID,Brand,Model,Question,Dialogue,Report
59,Q5060,日产,天籁,天籁 故障 码 怎么 解决,技师 说 传感器 有换 过 吗 技师 说 建议 更换 传感器 和 清 冼 一下 可变 气门 电磁阀 车主 说 刚 开始 报 了 凸轮轴 传感器 换 了 现在 又 报 了 这个 技师 说换 了 那 只有 两只 的 技师 说 是 正厂 吗 车主 说 外面 哪 一个 技师 说里 内 有 一个 的 车主 说 里面 那个 没坏 就 没换 技师 说 电磁阀 有清 冼过 么 技师 说 传感器 一定 要 正厂 搞 一个 拆车件 试试 车主 说 没有 哦 车主 说 这个 和 正时 又 关系 没 技师 说 清 冼 一下 搞 一个 正厂 传感器 看看 一定 要 正厂 技师 说 有 关系 的 车主 说 正时 不 对 也 会 报 这个 故障 码 么 技师 说 是 的 技师 说 现在 是 什么 故障 码 车主 说好 我 先换 传感器 试试 车主 说 技师 说好 的 车主 说 故障 码 下面 还 带 了 几个 小数 技师 说 是 后面 的 传感器 吧,更换 一下 传感器 一定 要 正厂 的
60,Q5061,长安,逸动,为什么 我 的 车 感觉 底盘 特别 松散 怠速 十几 迈过 个 有 小 哇 的 地方 感觉 左右 颠簸 特别 厉害,技师 说 这个 情况 检查 检查 减震 有没有 漏油 平衡杆 小 吊杆 胶套 间隙 还有 下肢 臂 胶套 球头 拉杆 球头 这些 都 会 影响 的 即时 检修 保养 确保 行车 舒适 稳定 安全 谢谢 车主 说 感觉 跟 面包车 一样 技师 说 就是 把 我 说 的 这些 检查一下 车主 说好 的 一般 修车 店 都 能 检测 吧 技师 说 都 可以 的 要 把 车子 举 起来 用 撬棍 撬动 间隙 车主 说好 的 谢谢 技师 说 没事,需要 检查 平衡杆 小 吊杆 胶套 下肢 臂球头 胶套 还有 检查 减震 上盖 有没有 缺油 磨损
61,Q5062,讴歌,讴歌,讴歌 美版 打火 非常 弱 经常 滴滴 滴 感觉 连接 半天 才能 打着 打着 时候 也 是 哄 的 一声 非常 响 和 电瓶 没 关 因为 是 刚换 的 新 的 小 飞机 那个 排气 故障 灯 时不时 会亮 今天 在 行驶 途中 突然 不 知道 哪里 滴滴 滴滴 滴滴 一直 叫 然后 就 熄火 了 停 在 大道 上 一直 打不着 火 直到 滴滴 滴 报警 声 结束 才 重新 打着 火 启动 请问 这 是 啥 问题 啊 从 哪 入手,技师 说 需要 拆 检查 火花塞 点火 情况 或 需要 进一步 检查 油路 方面 具体 建议 也 得 电脑 检测 故障 码 和 读取 车辆 各 传感器 数据流 哪里 异常 入手 车主 说 去 了 店 说 要 拆卸 发动机 我 也 觉得 是 火花塞 问题 请问 换 火花塞 不用 拆 发动机 吧 技师 说换 火花塞 就 拆 点火 线圈 即可 车主 说 现在 汽车 又 无法 启动 了 提示 检查 系统 这有 关系 吗 技师 说 有 可能 有 都 是 动力 传动 方面,建议 调换 火花塞 测试 检查 进排 系统 是否 漏气 松动 等 读取 车辆 故障 码 进一步 分析
62,Q5063,,,求教 各位 车友 在 新手 时可有 一些 找车 感 的 小窍门,技师 说 多 跑,找个 老 驾驶员 陪多 跑 路 养成 良好 的 驾驶 习惯
63,Q5064,丰田,凯美瑞,别克 凯美瑞 发动机 异响 冷启 时候 呜呜 响,技师 说 目前 多少 公里 了 热车 有没有 看过 皮带 松紧度 没有 车主 说 没有 车主 说换 了 机油 变成 这样 了 车主 说换 了 机油 变成 这样 了 车主 说换 了 机油 变成 这样 了 技师 说 检查 皮带 松紧度 还有 冷车 机油 流动性 不好 会 有 技师 说 你 那儿 更换 的 机油,这个 更换 的 机油 油质 不好 会 影响 重新 更换 嘉实多 极护 还有 检查 皮带 松紧度
64,Q5065,,,五十铃 缸 电喷 柴油机 曲轴箱 压力 大 怎样 修理,技师 说 检查 废 气阀 好不好 气缸 床 好不好 不行 的话 大修,曲轴箱 压力 大会 产生 废气 大 检查 废 气阀 好不好 不行 的话 按照 标准 流程 大修
65,Q5066,东风 风行,景逸,这是 台景逸 压缩机 皮带 不 知道 怎么 安装 了 求 大师 指点迷津,技师 说 技师 说,看 我 发 的 就是 这个
66,Q5067,大众,捷达,最近 加油 油枪 就 跳 枪 加油 员 说 邮箱 压力 大 让 加 燃油 宝 如果 真是 邮箱 压力 大 怎么 处理,技师 说 检查 真空管 堵塞 没有 碳罐 损坏 了 没有 技师 说 燃油 宝 清洗 积碳 的 和 跳 枪 没 影响 车主 说 真空管 是 什么 在 哪 另外 新 捷达 碳罐 在 哪 技师 说 真空管 就是 油箱 上面 的 碳 罐 在 油箱 位置 车主 说 还有 可能 哪里 出 问题 呢 技师 说 油箱 内部 压力 大 了 油箱 坏 了 也 是 这样 技师 说 先 把 上面 两个 处理 了 便宜 油箱 太贵 了 最后 考虑 车主 说 收到 技师 说,检查 真空管 碳罐 没 问题 在 检查 油箱
67,Q5068,雪佛兰,科沃 兹,请问 您 自动挡 的 车 停车 时 踩 刹车 拉 手刹 挂挡 还是 网站 上 说 的 先 挂挡 熄火 然后 再 挂挡,技师 说 刹住 车 挂挡 拉 手刹 熄火 就行了 车主 说 哦 这样 对 变数 箱 没有 影响 吧 技师 说 这个 不 影响 的 车子 停住 挂挡 车主 说 谢谢 啦 技师 说 没事,车子 停住 直接 挡 拉 手刹 就行了
68,Q5069,日产,天籁,汽车 开 起来 颠簸 走 不平 路 像是 弹 起来 轮子 不贴 地换 了 四支 避震器 还是 一样 颠簸 是不是 弹簧 太硬,技师 说 技师 说 车主 说 只 换 减震器 弹簧 没换 车主 说 轮子 气压 正常 技师 说 车主 说 弹簧 好像 太硬 车头 都 按 不 下去 车主 说 想 板车 技师 说 车主 说 车主 说 技师 说 车主 说 车主 说 技师 说 车主 说 车主 说 车主 说 技师 说 技师 说 现在 有点 忙 如果 还有 问题 稍后 回复 你,根据 故障 现象 分析 一般 是 减震器 弹簧 的 问题 建议 更换 很 高兴 为 你 解答
69,Q5070,别克,别克,车子 热车 自动 熄火 汽油 油泵 已 更换 未 发现 故障 码款 陆尊 什么 情况,技师 说 车主 说 可以 的 技师 说 车主 说 有 就是 发 起来 开车 走米 熄火 技师 说 车主 说 点火 线圈 短路 不 可能 都 短路 吧 技师 说 有 可能 出现 这种 情况 燃油 压力 也 测过 了,根据 故障 现象 分析 应该 重点 检查 点火 线圈 很 高兴 为 你 解答
70,Q5071,起亚,起亚,我 的 自动挡 悦达起亚 通电 后 启动 前有 一阵 翁翁 的 声音 是 什么 故障,技师 说 车主 说 现在 声音 很大 技师 说 车主 说 和 碳 罐 有没有 关系 一直 没换 过 技师 说 关系不大 碳罐 不会 发出 这样 声音 车主 说 谢谢,根据 故障 现象 分析 应该 是 电动 油泵 工作 的 声音 很 高兴 为 你 解答
71,Q5072,江铃 集团 轻汽,骐铃,转向灯 双闪 都 不亮 给 个 电路图,技师 说 车主 说 车主 说 技师 说 技师 说 车主 说 车主 说 技师 说 技师 说 车主 说 车主 说 车主 说 技师 说 车主 说 技师 说 车主 说 技师 说,根据 故障 现象 分析 说明 了 排除 闪光灯 不亮 的 原因 和 排除 方法 很 高兴 为 你 解答
72,Q5073,菲亚特,西耶那,年 西耶拉 怠速 时会 熄火 启动 后大 油门 后 又 可以 行驶 情况 会 反复 出现,技师 说 车主 说 启动 后大 油门 就 可以 怠速 技师 说 车主 说 油门 小 了 怠速 就 没有 车主 说 是 的 技师 说 车主 说 不 知道 哎 车主 说 以前 没有 这个 情况 最近 才 有 的 技师 说 技师 说 车主 说 车主 说 技师 说 技师 说 车主 说好 的 不行 再 请教 你 技师 说 技师 说 可以 关注 我 有 问题 随时 点击 头像 联系,根据 故障 现象 分析 建议 清洗 下 节气门 积碳 很 高兴 为 你 解答
73,Q5074,长安,长安,摩托车 油箱 凹陷 钣 金 修复 得 了 吗 换个 油箱 一千块 钱 太贵 了 不划算 有 什么 办法 可以 修复 啊,技师 说 建议 把 油箱 拆下来 清洗 干净 然后 找 钣 金工 修复 成 原来 的 样子 然后 喷漆 费用 就算 三四百 也 值得 车主 说图 三 是 做 过 钣 金 修复 的 了 我 不 知道 是不是 他 没 注意 那儿 忘 了 弄 还是 弄 不了 他 给 我 说 弄 不了 那儿 不 知道 是不是 他 怕麻烦 技师 说 这个 造型 确实 不好 弄 看看 别的 钣 金 师傅 能 不能 搞,第三张 图 确实 不好 修复 修复 不好 还有 可能 弄 破 您 可以 多问 几家 看看 能 不能 修复
74,Q5075,众泰,众泰,这个 可以 那个 改 加装 倒车 影像 吗,技师 说 技师 说 车主 说 哦 车主 说 这 是 个 车主 说 等 有 时间 拆开 看看 再 联系 你 技师 说,根据 显示 没有 看到 视频 接口 估计 不 支持 倒车 视频 很 高兴 为 你 解答
75,Q5076,日产,骏逸,年 日产 轩逸 手动 空调 空调 放大器 在 哪里,技师 说 应该 就是 风机 电阻 吧 在 油门 踏板 附近 车主 说 确定 我 这个 空调 不 工作 按 车身 电脑 现实 关闭 但 面板 灯亮 技师 说 这个 只有 面板 要 不 就 在 面板 一起 车主 说 换个 面板 车主 说 你 问问 别人 技师 说 那 就是 开关 信号 没 发出 去 可以 换个 面板 试试 风机 有风 没 车主 说 别的 都 管用 就是 空调 不管 用 车身 电脑 没 空调 信号 车主 说 我 看 电路图 就是 不 知道 放大器 在 哪 技师 说 我 问 了 朋友 他 说 没有 放大器 你 拆 了 面板 看 里面 是不是 烧坏 了 车主 说 没 看到 车主 说闻 不到 技师 说 看 电路板 车主 说 没有 看不出来 什么 技师 说 你 量 线 有 输出 没 如果 输出 没 信号 就是 面板 坏 了,确认 面板 有没有 输出 信号 没有 就是 面板 问题 放大器 和 面板 集成 在 一起 更换 控制面板
76,Q5077,别克,凯越,凯越 遥控 钥匙 太近 有没有 办法 改远点,技师 说 可以 的 到 汽车 遥控 匹配 门店 可以 改 的 详情请 咨询 店内 车主 说好 的 谢谢 技师 说 不 客气,可以 到 转业 汽车 防盗 钥匙 门店 咨询 店内
77,Q5078,大众,途观,各位 大师 你们好 款途观 后视镜 线 的 可 按键 折叠 有 按键 加热 换 一个 要 多少 钱 只是 后 镜片 和 转向灯 镜片 坏 了 是否 要 全部 换 或者 只换 镜片 可以 呢,技师 说 这个 需要 更换 总成 价格 问题 我们 不便 参与 车主 说 意思 是 全部 要换 吗 技师 说 是 的 车主 说 我 发图片 你 看 一下 车主 说 车主 说 车主 说 别人 车 碰坏 的 技师 说 必须 更换 总成 后视镜 车主 说 方便 透漏 一下 大概 要 多少 钱 车主 说 价格 感觉 有点 离谱 说 要 左右 技师 说 不好意思 我们 有 规定 抱歉 车主 说 噢 谢谢 技师 说 不 客气,更换 后视镜 总成
78,Q5079,沃尔沃,沃尔沃,沃尔沃 突然 不着 车去 维修 检查 电瓶 没有 问题 说 是 线路 故障 维修 后开 回来 没 两天 又 不 着 车 了 车子 行驶 过程 中 总是 登登 的 想 能 知道 是 什么 问题 吗 故障 灯 没有 亮 的,技师 说 车主 说 偶尔 技师 说 技师 说 在 吗 车主 说 刚才 没 在 没 太 听 明白 您 的 意思 技师 说 车主 说 嗯 十一点 反应 也 没有 启动 机 也 没有 反应 技师 说 车主 说 嗯 去 修 了 说 是 线路 问题 到时候 修好 了 还 这样 车主 说 就 开 回来 头 两天 还 行 后来 又 不行 啦 技师 说 技师 说 技师 说 请问 还有 什么 问题 需要 解答 的 车主 说 还有 就是 传动轴 总响 和 车 的 编程 有 问题 技师 说 车主 说 嗯 嗯 刚才 我 又 和 修理 人员 联系 他 说 线路 维修 后 他们 电工 都 检查 了 没有 问题 说 是 还是 出现 偶尔 熄火 可能 是 他们 编程 没有 弄 好 他们 说 的 是 真的 吗 技师 说 技师 说,这个 如果 线路 没有 问题 应该 和 编程 也 是 有 关系 的 建议 到 店 给 你 从 新 编程 一下 看看 传动轴 出现 异响 检查一下 看看 有没有 出现 缺少 润滑油 导致 的 很 高兴 为 你 解答
79,Q5080,雪铁龙,雪铁龙,发动机 故障 启动 后 油门 自己 一下一下 加,技师 说 车主 说 谢谢 节气门 一般 维修 多少 钱 车主 说 我 已交 救援 我 主要 想 自己 了解 下 这样 好 心里有数 车主 说 以免 维修 时 我 有 个 参考 车主 说 谢谢 技师 说 技师 说 车主 说 谢谢 我点 采纳 了 技师 说 谢谢 你 的 采纳 和 好评 你 可以 点击 我 的 头像 关注 我 后面 有 什么 问题 可以 一对一 进行 提问 谢谢 你 对 汽车 支持,这个 情况 需要 用 电脑 进行 检查 先 清除 故障 如果 没有 再次出现 应该 是 假 故障 造成 的 如果 清除 以后 还是 出现 读取 一下 故障 码 看看 哪里 问题 很 高兴 为 你 解答
80,Q5081,别克,别克,别克 陆尊 不用 遥控器 只用 钥匙 锁车 防盗器 会 不会 失效 不起作用,技师 说 车主 说 是 的 技师 说 车主 说 你 的 意思 是 用 什么 锁车 效果 都 一样 技师 说 车主 说好 的 感谢 技师 说 不 客气 后面 有 什么 问题 随时 联系 谢谢 你 对 汽车 大师 支持,这个 不会 但是 你 的 车子 防盗 失效 的 很 高兴 为 你 解答
81,Q5082,大众,桑塔纳 志俊,起步 抖动 要 使 转速 上来 才能 起步 陡 下坡 挂 高档 踩油门 也 抖 接不上 气,技师 说 车主 说 一个多月 技师 说 车主 说 没有 技师 说 车主 说 火花塞 更换 高压线 更换 技师 说 技师 说 车主 说好 的 谢谢 技师 说 不 客气 你 可以 关注 我 后面 有 什么 问题 随时 联系 谢谢 你 对 汽车 大师 支持,你 的 这个 建议 先 检查 刹车 其次 就是 油路 和 高压 火 很 高兴 为 你 解答
82,Q5083,奥迪,奥迪,款 奥迪 晚上 停车 入库 白天 发动 后 前期 行驶 中 轮胎 附近 出现 吱吱 刺耳 响声 尤其 是 拐弯 时候 较为 明显 行驶 七八分钟 后 响声 就 不 明显 了,技师 说 车主 说 技师 说 车主 说 技师 说 车主 说 技师 说 车主 说 技师 说 不 客气 你 可以 关注 我 后面 有 什么 问题 随时 联系 谢谢 你 对 汽车 大师 支持 车主 说好 的 技师 说好 的,你 的 这个 应该 是 刹车盘 或者 刹车片 或者 是 囚笼 问题 导致 的 建议 对 这 几个 地方 检查一下 很 高兴 为 你 解答
83,Q5084,荣威,荣威,荣威 自动挡 发动机 刚 大修 完 但是 一直 喷 防冻液 缸 垫 换 了 次 不行 节 温器 取 了 也 不行 怎么回事 啊,技师 说 发动机 大修 的 缸 套 看过 和 缸体 间隙 是 多少 没有 还有 空气 拍 了 没有 防冻液 是不是 会少 车主 说 我 不 知道 看 没 看 啊 车主 说 空气 排 了 每次 加 了 着 车 停 长时间 车主 说 怎么 排 空气 呢 技师 说 要 喊 他 看 一下 这个 车 发动机 水温 高 一般 是 换 总成 换 汽缸 垫 没用 车主 说 缸 垫 冲 了 次 了 技师 说 在 上 水管 位置 铁 水管 有个 空气 螺丝 拆 了 加 防冻液 水管 流水 出来 就是 够 了 的 车主 说 排气 应该 是 排 了 的 这个 修理工 应该 都 知道 吧 技师 说 只有 拆 了 缸盖 考缸 套 和 缸体 间隙 这个 车缸 套 要 比 缸体 高丝 车主 说 我 有点 不 懂 车主 说 不是 专业 的 哈哈 技师 说 这个 要 去 大修 发动机 的 地方 处理 技师 说 这样 处理 了 还是 不行 只有 换 总成 车主 说车 就 在 修理店 都 多天 了 没 找到 原因 车主 说换 总成 多少 钱 技师 说 应该 是 缸体 和 缸 套 还有 看 一下 进气管 胶圈 有没有 漏水 技师 说 总成 万左右 车主 说天 技师 说 这个 比较 贵 的 车主 说 说 缸盖 不平 去 把 缸盖 整了 还是 不行 技师 说 这个 发动机 设计 有 问题 技师 说 缸盖 一般 是 没 问题 的 主要 是 缸体 和 缸 套 车主 说 大修 都 花 好几千 了 技师 说 这种 发动机 我们 上次 修 左右 修 了 自己 都 后悔 了 返工 几次 水温 高 防冻液 少 车主 说 缸体 和 缸 套 需要 怎么弄 我 明天 和 修理工 说 说 车主 说 我 花 了 技师 说 价格 差不多 车主 说 这车 是 刚 买 的 二手车 疯 了 技师 说 就 给 他 说 缸 套 要 比 缸盖 高 一点 丝都 是 上次 镗 缸 过来 我们 返工 给 我们 说 的 大修 这个 车主 说 你们 大修 完 也 是 高温 喷 防冻液 技师 说 这个 车 发动机 高温 基本上 不修 第一次 换 了 汽缸 垫 不行 直接 换 发动机 技师 说 差不多 和 你 一样 车主 说 我 的 不是 高温 修 的 修 之前 不 高温 技师 说 这个 发动机 设计 有 缺陷 技师 说 我们 是 烧 机油 不好 启动 修 的 修 了 就 高温 车主 说换 发动机 多少 钱 啊 技师 说 还有 喊 他 看 一下 是不是 缸 套松 了 没有 安装 好 技师 说 上次 拆 这个 活塞 缸 套 直接 一起 出来 技师 说 万 车主 说 修花 了 多 不如 换来 着 技师 说 他 也 是 肯定 第一次 修 这个 发动机 不 知道 这个 发动机 咬手 车主 说 那 其他 原因 基本 不用 看 了 吧 车主 说 他 现在 都 不 知道 什么 原因 各种 配件 换 技师 说 主要 是 缸 套 缸体 进气管 胶圈 还有 看 一下 水泵 技师 说 水箱 堵塞 没有 车主 说 水泵 是 新换 的 技师 说 就 把 水泵 排除 车主 说 水箱 堵 怎么 看 呢 技师 说 这个 说实话 该换个 总成 车主 说 太贵 了 我 的 车 才 万 买 的 技师 说 拆下来 清洗 了 看看 主要 是 里面 的 散热 条 车主 说修 之前 没有 高温 症状 应该 也 不是 水箱 的 问题 吧 技师 说 应该 就是 缸体 缸 套 进气管 胶圈 车主 说 进气管 换 了 新 的 车主 说 他们 以为 进气管 堵 了 换 了 新 的 还是 不行 技师 说 不是 进气管 是 进气管 上面 的 胶圈 他 没有 用 密封胶 安装 也 会 影响 的 漏水 技师 说 漏进 缸体 里面 车主 说用 密封胶 了 技师 说 没有 吧 胶圈 涂抹 好 也 会 漏水 车主 说 不是 那漏 呢 技师 说 你 修 了 给钱 没有 技师 说 不是 进气管 就是 缸体 缸 套 车主 说 给 了 然后 换 配件 给 了 车主 说发 不了 小视频 技师 说 没有 修好 就 给钱 了 技师 说 明天 喊 他 拆 了 缸盖 检查 缸体 缸 套 车主 说 不 知道 啊 他 说 修好 了 然后 开 的 就 高温 了 说 是 我车 其他 原因 呢 现在 哎 技师 说 这个 明显 坑 你 车主 说 我 都 想 换 地方 修 了 技师 说换 地方 也 是 要 拆 缸盖 或者 发动机 又 要 给钱 技师 说 拆 了 不 一定 能 搞好 车主 说 那 咋整 车主 说 喷 防冻液 的 地方 在 前面 链接 水箱 的 那个 胶管 那 技师 说 喊 他 拆 了 检查 缸体 缸 套 在 检查一下 拆 了 缸体 重新 镗 缸 然后 在 安装 车主 说 哦 明天 上午 和 他 说 技师 说 可以 明天 说 了 给 我 反馈 技师 说 就是 把 我 说 的 给 他 说 一下 交流 一下 车主 说好 的 谢 啦 技师 说 没事 车主 说节 温器 都 取 了 技师 说 就 不是 节 温器 问题 车主 说 他 把 缸盖 削 了 次 技师 说 缸盖 应该 是 没 问题 的 车主 说 他 说 变形 了 削次 不行 哎 技师 说 两次 还是 不行 他 还要 销 这个 要 更换 了 车主 说 啊 技师 说 我 明天 给 你 说 要 洗澡 休息 了 车主 说好 吧 车主 说 修理工 说 缸盖 和 缸 套 那个 已经 重新 整了 技师 说 又 拆下来 了 车主 说 我 去 了 他 自己 拆 了 装好 了 技师 说 现在 水温 高不高 车主 说 不 知道 了 还 没装 好 其他 的 技师 说 你 给 他 说 了 我 昨晚 上 给 你 说 的 那些 没有 车主 说 他 说 不是 这个 原因 说 上次 也 是 高丝 啊 车主 说 说 了 昨天晚上 就 给 他 发微信 了 技师 说 缸 套松 了 安装 的 时候 没有 镶好 车主 说 已经 重新安装 了 次 了 技师 说 汽缸 垫 铁 的 车主 说 缸 垫 铁 的 石棉 的 都 换 了 现在 石棉 加铁 的 技师 说 只有 这样 换 了 上去 看看 车主 说 奇怪 了 技师 说 还有 看过 缸体 有没有 裂痕 车主 说 这个 应该 没有 吧 技师 说 我 的 意见 还是 缸体 缸 套 车主 说 为什么 跑 的 途中 不 喷 啊 车主 说车 减速 停下来 的 时候 喷 的 厉害 技师 说 跑 起来 保险杠 位置 有风 给水箱 散热 了 车主 说 那 就 停 着 可以 看 出来 不 车主 说 开始 以为 风扇 坏 了 技师 说 还有 水箱 你 把 水箱 清洗 了 车主 说 水箱 怎么 清洗 呢 技师 说 拆下来 清洗 把 里面 散热 条 清洗 了 车主 说 这个 过 了 时间 是 不 就 联系 不到 了 技师 说 这个 问题 小时 关闭 车主 说 可以 加 不 技师 说 车主 说好 车主 说 技师 说,主要 是 检查 缸 套 缸体 看缸 套 松动 了 没有 还有 看 水箱 堵塞 没有 把 水箱 清洗 了 看看 还是 不行 只有 更换 发动机 才 可以 解决问题
84,Q5085,日产,轩逸,我 的 车 行驶 了 六 万多公里 除了 三滤 都 还 没有 换 过 现在 保养 需要 更换 什么,技师 说 更换 全 车 油水 机油 变速箱 油 刹车油 防冻液 清洗 节气门 进气管 燃烧室 三元催化 检查 底盘 有没有 间隙 刹车片 厚薄,大 保养 需要 更换 机油 机滤 空滤 空调 滤芯 汽油 滤芯 火花塞 防冻液 变速箱 油 还 需要 清洗 节气门 喷油嘴 三元催化
85,Q5086,哈弗,哈弗,哈佛 刹车 时有时无 是 怎么回事,技师 说 您 是 说 刹车 效果 有时 好 有时 坏 技师 说 我 的 刹车 时有时无 怎么回事 呢 技师 说 大部分 都 有 技师 说 是 感觉 有时 踩下 刹车 可以 一脚 踩 到底 有时 又 踩 不 到底 还是 您 踩下 一样 但是 有时 能 踩 着 刹车 有时 又 感觉 停不下来 技师 说 踩下去 停不下来 技师 说 只能 挂 空挡 以后 就 没事 了 技师 说 就是 脚 还是 不会 踩 着 像 空 的 技师 说 踩 不动 了 技师 说 和 空 的 一样 技师 说 踩 的 时候 跟着 赶上 一脚 效果 咋样 技师 说 您 的 车 多少 公里 了 技师 说 有事 行 有事 不行 技师 说 万多 点 技师 说 怎么办 呢 现在 技师 说 您 检查一下 刹车片 和 刹车油 看看 是不是 刹车片 不太厚 了 技师 说 刹车片 和 和 油 都 没 问题 技师 说油 是 刚换 的 技师 说 大部分 管用 技师 说 一 堵车 就 不好 用 了 上坡 和 下坡 都 不好 用 技师 说 是不是 不管 用 了 技师 说 不 知道 啊 技师 说 时有时无 大部分 管用 技师 说 踩 刹车 感觉 不管 用 的 时候 地方 有没有 拖 的 刹车 印 技师 说 踩 着 刹车 的 时候 刹车踏板 会 不会 自己 向下 延伸 一段 技师 说 没有 刹车 印 技师 说 就是 感觉 踩 不动 了 技师 说 放心 空挡 就 好 了 技师 说 放在 技师 说 就是 用 刹车 太多 就 会 感觉 刹车 不太好 技师 说 您 检查一下 真空 助力 看看 是不是 哪里 有 漏气 技师 说 想 去 店 看看 呢 技师 说 通过 您 的 描述 多半 是 汽车 抽 真空 的 效率 不高 或是 真空管 路 系统 有 漏气 的 地方 导致 踩 刹车 次数 多 的 时候 真空 供应 不上 导致 真空 助力 不起作用 刹车 系统 踩 不动 效果 不好,通过 您 的 描述 多半 估计 是 真空 助力 的 管路 或是 抽 真空 的 效率 不太好 导致 刹车 系统 踩 的 次数 多 的 时候 抽 真空 供不应求 刹车 系统 踩 不动 刹车 不好 建议 检查 抽 真空 的 管路
86,Q5087,马自达,马自达,想 买 马自达 店称 顶 配车 出厂 检测 程序 复杂 所以 现在 有 月份 的 车 请问 这算 库存 车 吗 如果 提 这台 月 的 车会 不会 影响 使用,技师 说 根据 不同 配置 最高 配 确实 有 检测 程序 别的 配置 也 会 有 只不过 相对 简单 些 一月份 的 车 很 正常 这个 不必 担心 没有 任何 影响 技师 说 一般 超过 半年 才 是 库存 车 一月份 的 车 可能 和 车辆 配置 和 颜色 等 因素 放 一两个 月 很 正常 车主 说 但 网上 很多 说个 月 就是 库存 车 了 我 这车 近个 月 了 所以 不太 放心 技师 说 不好意思 刚才 有点 事 耽误 了 技师 说 三个 月 完全 没有 问题 的 技师 说 这个 你 完全 可以 放心 很 常见 车主 说好 的 谢谢 技师 说 不 客气 感谢 使用 汽车 大师 车主 说 提车 要 注意 些 什么 啊 技师 说 不好意思 刚才 有 一台 车 在 检修 技师 说 主要 看 一下 车 的 表面 有没有 划痕 和 碰撞 的 痕迹 看 一下 底盘 有没有 托底 的 情况 至于 性能 可以 路 试一下 车主 说 谢谢 技师 说好 的 不 客气 感谢 使用 汽车 大师,新车 确实 是 有 一套 检测 程序 三个 月 不算 是 库存 车 一般 六个月 算是 库存 车 没有 任何 影响 的 请 放心 新车 提车 时 可以 检查 下 外观 没有 没 划痕 底盘 有没有 磕碰 油液 气压 等
87,Q5088,五菱 汽车,五 菱宏光,这里 找 不到 车型 我 的 是 重汽 豪沃 轻卡 六档 变速箱 车辆 行驶 中退 三档 特别 难退 很 容易 就 打齿 这 是 为什么 啊 我 速度 都 减 下来 了 十几 码 三档 还是 进不去 起步 加档 特别 顺 就是 四档 退 三档 特别 难 很 容易 打齿 现在 都 不敢 用力 是 我 速度 没把握 好 还是 方法 不 对,技师 说 车主 如果 您 的 汽车 其它 档位 都 非常 好 挂 四挡 减 三档 的 时速 是 码 之间 如果 不好 换挡 说明 变速箱 三档 轴 或者 同步器 坏掉 了 需要 维修 更换 如果 离合器 太低 建议 把 离合器 调 高 试试看 车主 说 我 的 是 轻卡 车主 说 不是 小车 技师 说 我 知道 您 的 是 货车 原理 是 一样 的,四挡 退 三档 不好 挂 档 可能 的 原因 是 离合器 太低 离合器 总泵 分泵 泄压 或者 需要 调整 离合器 因为 其它 档位 一切正常 最大 的 可能性 是 变速箱 三档 同步器 或者 三档 轴 损坏 需要 从 简单 的 开始 检查 维修 定期 更换 变速箱 油
88,Q5089,起亚,起亚,年 公里 左右 近 段时间 开车 抖动 严重 码 严重 些 但 四轮 有点 不正 该 定为 了 有关 连 么,技师 说 如果 是 开 起来 抖 那 就 检查 轮胎 是不是 扁 了 轮胎 做 动平衡 如果 是 严重 变形 那 就 换 钢盆 四轮 定位 快点 做 要不然 影响 车辆 的 稳定性,检查 轮胎 动平衡 轮胎 数据 不 大 的话 做 了 动平衡 就 不抖 了 如果 轮胎 变形 的话 做 动平衡 就 没用 需要 换 轮胎 而 四轮 定位 是 对 车辆 稳定性 做 必要 的 调整
89,Q5090,别克,君威,轮胎 被 扎 了 钉子 现在 应该 怎么 处理,技师 说 不要 现在 拔掉 可以 明天 开着 去 补胎 的 地方 在 拔掉 因为 扎 着 钉子 只是 轻微 的 一点 漏 如果 拔 了 一夜 肯定 会 没有 气 了 技师 说 也 可以 直接 换上 备胎 等 明天 拿 着 轮胎 去 直接 补胎 车主 说 是否 可以 充气 车主 说 技师 说 可以 但是 现在 不用 可以 坚持 到 明天 车主 说好 的 车主 说 补胎 能 上 高速 吗 车主 说 去 吗 技师 说 不用 去 店 专业 补胎 的 地方 就 可以 技师 说 补胎 之后 需要 放到 后轮 使用 车主 说 哦 哦 技师 说 嗯,不要 现在 拔掉 现在 拔掉 的话 一夜 就会 没气 了 等 明天 开 到 补胎 的 地方 再 拔掉 或者 直接 换上 备胎 明天 拿 着 轮胎 去 补胎 补胎 之后 的 轮胎 需要 放到 后轮 使用
